Year,Team,WR_before_6N,WR_after_6N,Performance_6N,Home_Win,Away_Win
2018,England,2,2,2,2,2
2018,France,3,3,1,3,2
2018,Ireland,9,8,3,2,0
2018,Italy,8,7,4,1,1
2018,Scotland,12,11,5,0,1
2018,Wales,7,9,6,1,0
2019,England,2,2,1,3,2
2019,France,3,4,3,2,1
2019,Ireland,10,10,5,0,1
2019,Italy,7,6,2,2,1
2019,Scotland,11,12,6,0,0
2019,Wales,9,8,4,1,2
2020,England,2,2,1,2,3
2020,France,4,4,2,1,1
2020,Ireland,10,8,3,3,0
2020,Italy,7,7,4,0,1
2020,Scotland,11,11,5,0,0
2020,Wales,8,9,6,0,0
2021,England,1,1,1,2,1
2021,France,4,4,2,1,1
2021,Ireland,8,8,3,1,1
2021,Italy,7,7,4,0,1
2021,Scotland,11,11,5,1,0
2021,Wales,9,10,6,0,0
