Year,Round,Home Team,Away Team,Home Points,Away Points
2021,1,England,Scotland,52,10
2021,1,France,Wales,53,0
2021,2,Italy,England,3,67
2021,2,Wales,Ireland,0,45
2021,3,Ireland,France,15,56
2021,3,Scotland,Italy,20,41
2021,4,Ireland,Italy,25,5
2021,4,England,France,10,6
2021,4,Scotland,Wales,27,20
2020,1,Ireland,Scotland,18,14
2020,1,Wales,Italy,15,19
2020,1,France,England,13,19
2020,2,France,Italy,45,10
2020,2,Ireland,Wales,31,12
2020,2,Scotland,England,0,53
2020,3,Wales,France,0,50
2020,3,England,Ireland,27,0
2020,4,England,Wales,66,7
2020,4,Ireland,Italy,21,7
2020,4,Scotland,France,13,13
2020,4,Italy,England,0,54
2019,1,Ireland,England,7,51
2019,1,Scotland,Italy,7,28
2019,1,France,Wales,52,3
2019,2,Scotland,Ireland,5,22
2019,2,Italy,Wales,3,3
2019,2,England,France,41,26
2019,3,Italy,Ireland,29,27
2019,3,France,Scotland,41,10
2019,3,Wales,England,12,51
2019,4,Scotland,Wales,15,17
2019,4,England,Italy,55,0
2019,4,Ireland,France,17,47
2019,5,England,Scotland,80,0
2019,5,Wales,Ireland,24,5
2019,5,Italy,France,31,12
2018,1,Italy,England,7,42
2018,1,France,Ireland,24,0
2018,1,Wales,Scotland,18,17
2018,2,Ireland,Italy,21,8
2018,2,Scotland,France,3,26
2018,2,England,Wales,52,0
2018,3,Ireland,Wales,35,12
2018,3,France,Italy,57,0
2018,3,Scotland,England,8,42
2018,4,Ireland,Scotland,12,15
2018,4,Wales,Italy,15,22
2018,4,France,England,18,17
2018,5,Italy,Scotland,26,12
2018,5,Wales,France,3,38
2018,5,England,Ireland,33,11
